 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2016,7,12,58.3,1,0.1,1.6,0.4,2.1,34.8
2017,44,72,61.1,9,-0.7,0.2,0.4,-0.1,32.5
2018,25,47,53.2,0,-0.8,-1.6,0,-2.3,31.5
2019,44,61,72.1,9,-1.4,0.3,0.8,-0.3,32.1
2020,7,13,53.8,0,-0.1,1.5,0.3,2.3,32.9
2021,32,68,47.1,-1,-1,-0.9,0.3,-1.6,31
2022,34,68,50,0,-0.6,-0.3,0.4,-0.5,33.6
