Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,95,27,28.4,.216,.395
2017,R,666,173,26.0,.408,.497
2018,R,495,126,25.5,.392,.387
2019,R,434,140,32.3,.361,.409
2020,R,114,56,49.1,.359,.391
2021,R,618,191,30.9,.404,.332
2022,R,677,333,49.2,.447,.470
