Season,Team,Pos,PA,Depth (ft.),Angle
2016,NYY,9,898,286,27
2017,NYY,9,5151,289,27
2018,NYY,9,3278,293,26
2018,NYY,8,36,321,0
2019,NYY,9,3252,288,25
2020,NYY,9,792,292,26
2021,NYY,8,675,324,0
2021,NYY,9,3721,290,26
2022,NYY,9,2031,291,26
2022,NYY,8,2564,324,0
