PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
Brebbia,1.0,1,0,0,0,0,0,2.88
"Rogers, Ty",2.0,3,0,0,0,1,0,4.20
"Marte, Y(BS, 1)",2.0,3,1,1,0,2,0,6.28
"Littell(W, 3-3)",1.2,2,0,0,0,2,0,4.74
"Alexander(H, 2)",1.0,2,1,1,1,0,1,2.45
"Doval(S, 22)",1.1,1,0,0,0,0,0,2.58
,9.0,12,2,2,1,5,1,
