PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Sandoval(L, 3-2)",6.0,8,2,2,2,8,1,2.83
Loup,0.2,0,1,1,1,0,0,4.57
Bradley,0.1,1,0,0,1,1,0,5.52
Tepera,1.0,0,0,0,0,1,0,4.21
"Iglesias, R",1.0,2,1,1,0,1,1,4.64
,9.0,11,4,4,4,11,2,
