PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Walker, T(W, 4-2)",6.0,6,1,1,1,10,0,3.08
"Lugo(H, 10)",1.1,0,0,0,1,1,0,3.51
"Díaz(S, 12)",1.2,0,0,0,1,5,0,2.13
,9.0,6,1,1,3,16,0,
