PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Crawford, K",5.0,4,1,1,2,6,1,4.50
Brasier,0.1,3,2,2,0,1,0,4.55
Strahm,0.2,1,0,0,0,1,0,3.71
Schreiber,1.0,0,0,0,0,1,0,0.62
Houck,2.0,0,0,0,1,2,0,3.33
"Diekman(W, 4-0)",1.0,2,2,1,0,1,0,2.93
,10.0,10,5,4,3,12,1,
