PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Verlander(W, 17-3)",5.0,0,0,0,1,9,0,1.78
"Maton, P",2.0,2,0,0,1,3,0,3.81
Stanek,1.0,0,0,0,1,2,0,1.09
"Abreu, B",1.0,1,0,0,0,2,0,1.94
,9.0,3,0,0,3,16,0,
