BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KempLF,3,0,0,0,1,1,1,.231,.635
Machín3B,4,0,0,0,0,1,2,.220,.588
"Murphy, SC",4,0,2,0,0,1,0,.255,.777
"Brown, SCF",2,0,0,0,2,2,1,.231,.741
LaureanoRF,1,0,0,0,0,1,1,.211,.663
PinderRF,2,0,0,0,0,2,3,.234,.645
"Garcia, Der1B",4,0,0,0,0,3,4,.270,.876
Bride2B,3,0,0,0,0,1,3,.224,.590
LangeliersDH,3,0,0,0,0,2,0,.209,.625
"Allen, NSS",3,0,1,0,0,2,0,.205,.535
,29,0,3,0,3,16,15,,
