PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
"Martinez, A(L, 4-5)",5.0,4,4,4,3,6,4,5.77
Koenig,3.0,4,1,1,0,2,0,5.46
,8.0,8,5,5,3,8,4,
