PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
Montas,1.2,1,0,0,0,2,0,3.55
Acevedo,2.0,0,0,0,0,0,0,3.48
"Kolarek(L, 0-1)",1.1,3,2,2,0,2,1,3.94
Trivino,0.1,2,1,1,2,1,0,8.00
Lemoine,2.2,2,2,2,1,2,1,5.79
,8.0,8,5,5,3,7,2,
