BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Kemp2B,2,0,0,0,1,0,0,.210,.552
"a-Smith, KPH-3B",2,1,1,0,0,1,0,.208,.595
Neuse3B-2B,4,1,2,1,0,0,0,.269,.695
LowrieDH,3,1,1,1,1,1,2,.253,.695
"Brown, S1B",3,0,0,0,0,1,1,.192,.633
b-BethancourtPH-1B,1,0,0,0,0,0,1,.225,.596
LaureanoRF,0,0,0,0,0,0,0,.167,.560
PinderRF,2,0,1,0,1,0,0,.258,.679
"Murphy, SC",4,0,2,0,0,0,1,.200,.645
BarreraLF,4,0,0,0,0,2,5,.323,.855
PacheCF,4,0,0,0,0,1,2,.150,.415
"Allen, NSS",3,0,0,0,0,1,0,.174,.530
c-AndrusPH,1,0,0,0,0,1,0,.220,.603
,33,3,7,2,3,8,12,,
