PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Lorenzen(W, 5-2)",6.0,3,0,0,2,5,0,3.05
"Tepera(H, 11)",1.0,0,0,0,0,0,0,4.42
Loup,0.2,3,3,3,1,0,0,3.12
"Ortega, O(H, 2)",0.1,1,0,0,0,1,0,1.80
"Iglesias, R(S, 9)",1.0,0,0,0,0,2,0,4.30
,9.0,7,3,3,3,8,0,
