BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
OhtaniDH,4,1,2,0,0,0,0,.255,.761
TroutCF,3,1,0,0,1,1,1,.310,1.089
Rendon3B,3,0,1,0,1,0,1,.246,.762
Walsh1B,4,0,0,0,0,2,5,.236,.737
MarshLF,3,0,0,1,1,2,0,.267,.733
Rengifo2B,4,1,2,2,0,0,0,.300,.815
WallachC,4,0,1,0,0,1,3,.156,.510
WadeRF,3,1,1,0,0,1,1,.244,.588
"Velazquez, ASS",3,1,1,2,0,0,1,.194,.558
,31,5,8,5,3,7,12,,
