PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
Cessa,5.2,3,2,2,0,8,0,4.97
"Farmer, B",0.2,2,0,0,1,1,0,3.72
"Díaz, A(W, 6-2)",1.2,1,1,1,0,3,1,1.83
"Gibaut(S, 1)",1.0,1,0,0,0,2,0,4.33
,9.0,7,3,3,1,14,1,
