BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,4,0,2,0,0,1,1,.244,.719
SeagerSS,4,0,1,1,0,0,2,.256,.804
"Lowe, N1B",3,0,2,0,1,0,1,.305,.861
"García, AdRF",4,0,0,0,0,1,6,.253,.750
HeimC,3,0,0,0,1,1,3,.235,.728
TaverasCF,4,0,0,0,0,1,3,.285,.730
CalhounDH,4,0,0,0,0,2,0,.206,.618
"Duran, E3B",4,0,0,0,0,0,0,.237,.656
"Thompson, BLF",2,1,1,0,1,0,0,.282,.674
,32,1,6,1,3,6,16,,
