PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Pivetta,3.0,4,1,1,2,2,0,4.37
"Danish(W, 3-1)",1.0,1,0,0,1,0,0,3.90
"Strahm(H, 10)",2.0,0,0,0,0,2,0,3.48
Brasier,1.0,0,0,0,0,1,0,6.49
Ort,1.0,1,0,0,0,0,0,7.11
Bazardo,1.0,0,0,0,0,1,0,9.00
,9.0,6,1,1,3,6,0,
