BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PhamLF,5,0,2,0,0,1,0,.251,.718
VerdugoRF,5,1,0,0,0,2,2,.284,.735
BogaertsSS,4,1,2,1,1,1,0,.311,.843
Devers3B,2,2,2,1,2,0,0,.291,.886
a-CorderoPH-1B,0,0,0,0,1,0,0,.225,.714
MartinezDH,4,2,2,1,1,0,5,.274,.770
Story2B,5,0,1,0,0,2,4,.232,.723
"Hernández, KCF",3,2,2,2,1,0,0,.224,.646
Arroyo1B-3B,4,0,1,2,0,1,3,.288,.755
WongC,4,1,1,2,0,1,1,.250,.731
,36,9,13,9,6,8,15,,
