BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McMahon3B,4,0,0,0,0,3,0,.248,.736
Rodgers2B,4,0,0,0,0,2,0,.277,.748
BlackmonDH,4,0,2,0,0,0,0,.272,.760
"1-Bernard, WPR-DH",0,0,0,0,0,0,0,.286,.596
Cron1B,4,1,1,0,0,1,2,.272,.817
IglesiasSS,4,0,1,0,0,0,0,.306,.743
GrichukRF,3,0,2,0,0,1,0,.275,.750
HilliardLF,3,0,1,0,1,1,4,.184,.544
ServenC,2,0,0,1,1,2,2,.220,.658
HampsonCF,4,0,0,0,0,1,5,.212,.598
,32,1,7,1,2,11,13,,
