PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
"Márquez(W, 7-10)",7.0,1,0,0,2,5,0,4.97
"Estévez(H, 8)",1.0,1,0,0,0,2,0,3.66
"Bard, D(S, 27)",1.0,1,0,0,0,1,0,2.33
,9.0,3,0,0,2,8,0,
