PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
Hearn,5.1,7,3,3,3,3,0,5.37
Tinoco,0.2,0,0,0,0,1,0,0.00
"Burke(W, 4-1)",2.0,0,0,0,0,1,0,0.83
"Moore(S, 1)",1.0,0,0,0,0,0,0,2.54
,9.0,7,3,3,3,5,0,
