BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,4,0,3,0,1,1,1,.226,.639
SeagerSS,5,0,2,1,0,0,4,.222,.689
"García, AdRF",4,0,1,1,1,1,6,.243,.751
CalhounLF,3,0,0,1,0,2,5,.238,.700
HeimC,4,0,1,0,0,0,4,.250,.757
1-CulbersonPR,0,1,0,0,0,0,0,.228,.513
HuffC,0,0,0,0,0,0,0,.333,.798
"Lowe, N1B",4,0,0,0,0,1,1,.272,.740
"Duran, E3B",4,1,2,1,0,2,0,.333,.907
"Miller, BDH",3,2,1,1,1,1,1,.234,.700
TaverasCF,3,1,1,0,1,1,2,.333,.833
,34,5,11,5,4,9,24,,
