PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
Javier,6.0,5,2,2,3,7,0,3.20
"Stanek(H, 5)",1.0,2,0,0,0,2,0,0.86
"Neris(L, 1-3)(BS, 1)",0.1,3,3,3,1,0,0,3.76
"Maton, P",0.2,1,0,0,0,0,0,3.46
,8.0,11,5,5,4,9,0,
