 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2017,,108,17.3,26.9%,2.8%,76,21.5,1.3%,19.7%
2018,,187,16.3,33.2%,3.2%,105,22.9,1.9%,18.1%
2019,,524,17.8,21.9%,5.9%,330,22.7,1.8%,10.9%
2020,,231,18.2,14.3%,6.1%,133,23.6,0.8%,21.1%
2021,,216,18.8,9.7%,6.9%,167,22.7,0.6%,10.8%
2022,,582,18.0,20.1%,4.8%,337,22.6,0.6%,12.5%
