 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2017,,124,464,-1,-4,0,3,-1
2018,,181,759,13,-3,7,5,22
2019,,504,"2,001",-2,-11,21,15,23
2020,,263,"1,014",14,-8,6,6,19
2021,,236,942,2,-9,7,5,5
2022,,567,"2,248",1,-31,15,14,-1
