BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ArraezDH,5,2,4,1,0,0,2,.354,.880
Polanco2B,4,2,2,3,1,1,2,.244,.770
BuxtonCF,5,0,0,0,0,2,4,.218,.845
KeplerRF,4,0,0,0,1,1,0,.231,.732
KirilloffLF,4,0,1,1,0,0,2,.263,.715
1-CelestinoPR-LF,1,0,0,0,0,0,0,.281,.687
GordonSS,5,0,1,0,0,2,3,.273,.727
Miranda1B,4,1,2,0,1,0,0,.242,.706
Urshela3B,5,2,3,2,0,1,2,.266,.728
JeffersC,5,1,1,1,0,2,4,.192,.607
,42,8,14,8,3,9,19,,
