PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Eovaldi,4.1,6,3,3,2,4,1,3.34
Schreiber,1.2,1,0,0,0,1,0,1.10
"Whitlock(H, 1)",2.0,0,0,0,0,3,0,3.38
"Houck(W, 5-3)(BS, 1)",2.0,2,1,0,2,0,0,3.21
"Brasier(S, 1)",1.0,0,0,0,0,2,0,4.46
,11.0,9,4,3,4,10,1,
