Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Tampa Bay Rays,MLB,Bases Empty,,,,28,,,107.1,423,69,,,12,27,131,0.89
Tampa Bay Rays,MLB,Bases Loaded,,,,6,,,2.1,7,1,,,0,0,1,0.43
Tampa Bay Rays,MLB,Runner at 1st,,,,28,,,29.2,112,29,,,3,2,35,1.04
Tampa Bay Rays,MLB,Runners at 1st & 2nd,,,,16,,,8.1,31,6,,,2,2,6,0.96
Tampa Bay Rays,MLB,Runners at 1st & 3rd,,,,12,,,4.1,20,6,,,1,2,6,1.85
Tampa Bay Rays,MLB,Runner at 2nd,,,,18,,,8.2,30,4,,,1,1,10,0.58
Tampa Bay Rays,MLB,Runners at 2nd & 3rd,,,,6,,,3.0,8,0,,,0,0,3,0.00
Tampa Bay Rays,MLB,Runner at 3rd,,,,7,,,2.0,9,1,,,0,3,2,2.00
Tampa Bay Rays,MLB,Scoring Position,,,,27,,,28.2,105,18,,,4,8,28,0.91
