PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Plesac(L, 2-9)",5.0,7,5,5,2,7,2,4.33
Hentges,1.2,1,0,0,0,3,0,3.65
"De Los Santos, E",1.1,2,1,1,1,2,0,3.03
,8.0,10,6,6,3,12,2,
