PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Germán(L, 1-2)",5.0,4,1,1,0,3,0,5.09
Marinaccio,0.2,0,0,0,1,1,0,2.03
Trivino,1.1,1,0,0,0,1,0,5.91
Chapman,1.0,0,0,0,1,0,0,4.62
,8.0,5,1,1,2,5,0,
