BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerDH,4,0,2,0,1,1,4,.251,.811
Guerrero1B,5,1,1,0,0,0,5,.262,.817
KirkC,5,1,1,1,0,0,2,.313,.875
BichetteSS,5,1,1,0,0,1,5,.260,.730
"Hernández, TRF",4,2,2,3,0,1,3,.271,.807
Gurriel Jr.LF,4,1,1,0,0,0,1,.303,.784
"Chapman, M3B",4,1,3,3,0,1,0,.226,.728
"Tapia, RCF",4,0,3,1,0,0,0,.272,.682
ZimmerCF,0,0,0,0,0,0,0,.113,.467
Biggio2B,4,1,2,0,0,1,4,.221,.716
,39,8,16,8,1,5,24,,
