PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Leiter Jr.(L, 0-1)",3.1,5,7,7,4,4,1,18.90
Chavez,2.2,4,1,1,0,0,0,10.80
Roberts,1.0,1,1,1,0,0,1,2.70
Wick,1.0,1,0,0,0,2,0,3.38
,8.0,11,9,9,4,6,2,
