BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Madrigal2B,5,0,1,0,0,0,5,.227,.565
"Suzuki, SRF",4,0,1,0,0,1,2,.333,1.192
ContrerasDH,3,0,0,0,1,1,2,.220,.772
Schwindel1B,4,0,0,0,0,1,2,.226,.664
WisdomLF,2,1,0,0,1,2,0,.250,.836
b-OrtegaPH-CF,1,0,0,0,0,1,1,.179,.517
Villar3B,4,0,1,0,0,1,1,.343,.775
GomesC,2,1,0,0,1,1,0,.263,.668
c-RivasPH,1,0,0,0,0,1,1,.400,.800
HermosilloCF,2,0,1,2,0,1,0,.071,.459
a-HappPH-CF-LF,1,0,0,0,1,0,1,.308,.772
HoernerSS,4,0,3,0,0,0,1,.273,.721
,33,2,7,2,4,10,16,,
