BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SolerLF,4,0,0,0,0,3,0,.200,.533
"Sánchez, JCF",4,2,2,2,0,0,0,.313,1.041
CooperDH,4,0,0,0,0,0,0,.200,.450
Aguilar1B,3,0,0,0,0,2,0,.063,.126
Wendle3B,3,0,1,0,0,0,0,.400,.955
"Anderson, BRF",3,0,0,0,0,3,1,.167,.417
StallingsC,3,0,0,0,0,2,1,.167,.584
Chisholm Jr.2B,3,0,0,0,0,1,0,.333,1.142
"Rojas, MSS",3,0,0,0,0,0,0,.167,.417
,30,2,3,2,0,11,2,,
