PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
Kaprielian,5.0,5,2,2,0,3,2,5.73
"Puk(H, 5)",1.1,2,1,1,0,1,0,1.85
"Jackson, Z(H, 10)",0.1,1,1,1,1,0,0,3.70
"Moll(BS, 1)",0.1,1,0,0,1,1,0,1.47
"Trivino(L, 1-5)",0.1,5,4,4,1,0,0,9.20
Pruitt,0.2,0,0,0,0,0,0,4.05
,8.0,14,8,8,3,5,2,
