BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
FrazierLF,4,1,0,0,1,0,3,.267,.697
France1B,4,0,1,1,0,2,0,.323,.871
a-FordPH,1,0,0,0,0,1,0,.111,.444
"Rodríguez, JCF",5,1,3,1,0,1,0,.270,.710
WinkerDH,5,0,1,0,0,1,3,.221,.633
"Suárez, E3B",5,2,2,0,0,1,1,.216,.753
TorrensC,4,0,1,0,0,2,1,.197,.478
Toro2B,3,1,1,0,1,0,0,.171,.575
"Moore, DSS",2,1,1,4,2,1,0,.182,.765
Souza Jr.RF,4,0,0,0,0,2,4,.158,.316
,37,6,10,6,4,11,12,,
