PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Kirby(L, 0-1)",5.0,8,5,5,1,3,2,3.60
Romo,1.0,2,1,1,0,1,0,1.80
Misiewicz,0.2,2,2,2,0,1,0,3.48
"Mills, W",0.0,0,1,1,2,0,0,4.15
"Young, D",1.1,4,3,3,1,2,1,7.36
,8.0,16,12,12,4,7,3,
