PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Hill,2.0,6,4,4,1,2,1,3.90
"Houck(W, 3-3)",4.0,1,0,0,1,6,0,4.70
"Schreiber(H, 2)",1.0,0,0,0,0,0,0,0.00
Sawamura,0.1,2,1,1,1,1,0,3.65
"Strahm(H, 4)",0.2,0,0,0,1,1,0,2.03
Brasier,1.0,1,1,1,0,1,1,6.28
,9.0,10,6,6,4,11,2,
