,Team,Season,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,WOBA,WOBACON,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON
0,Rangers,2022,6029,5478,1308,224,20,198,456,1446,.239,.301,.395,.305,.366,23097,4080,323,7.9,39.3,89.1,14,.236,.390,.304,.365
1,Royals,2022,6010,5437,1327,247,38,138,460,1287,.244,.306,.380,.302,.347,22872,4214,302,7.2,37.8,88.8,12.9,.243,.392,.309,.359
2,Braves,2022,6082,5509,1394,298,11,243,470,1498,.253,.317,.443,.330,.406,23936,4048,441,10.9,43.5,89.9,13.5,.248,.445,.331,.407
3,Athletics,2022,5863,5314,1147,249,15,137,433,1389,.216,.281,.346,.277,.324,22568,3980,252,6.3,34.2,87.7,11.7,.224,.351,.285,.336
4,Nationals,2022,5998,5434,1351,252,20,136,442,1221,.249,.310,.377,.303,.345,22758,4270,251,5.9,35.4,87.5,10.3,.243,.373,.302,.344
5,Rays,2022,6008,5412,1294,296,17,139,500,1395,.239,.308,.377,.302,.354,23435,4055,247,6.1,38.7,88.9,11.4,.236,.361,.298,.348
6,Mets,2022,6176,5489,1422,272,27,171,510,1217,.259,.332,.412,.326,.367,23987,4336,309,7.1,37.1,88.2,11.9,.252,.404,.322,.362
7,Rockies,2022,6105,5540,1408,280,34,149,453,1330,.254,.315,.398,.312,.365,23635,4260,252,5.9,36.8,87.6,9.9,.244,.369,.301,.349
8,Astros,2022,6054,5409,1341,284,13,214,528,1179,.248,.319,.424,.324,.364,22950,4281,346,8.1,39.1,88.7,14.2,.249,.412,.324,.364
9,Orioles,2022,6049,5429,1281,275,25,171,476,1390,.236,.305,.390,.305,.357,23241,4094,333,8.1,39,88.7,15.5,.238,.392,.310,.364
10,Pirates,2022,5912,5331,1186,221,29,158,476,1497,.222,.291,.364,.289,.347,23201,3885,256,6.6,37.3,88.3,11.6,.225,.353,.289,.347
11,Padres,2022,6175,5468,1317,275,18,153,574,1327,.241,.318,.382,.308,.349,24392,4204,274,6.5,37.7,88.4,13.2,.237,.373,.306,.347
12,Tigers,2022,5870,5378,1240,235,27,110,380,1413,.231,.286,.346,.279,.333,22410,4019,251,6.2,36.4,87.6,11.8,.234,.358,.288,.347
13,Cubs,2022,6072,5425,1293,265,31,159,507,1448,.238,.311,.387,.307,.362,23812,4032,269,6.7,37.2,88.4,10.5,.232,.368,.300,.353
14,Brewers,2022,6122,5417,1271,251,17,219,577,1464,.235,.315,.409,.317,.374,24835,4001,349,8.7,39.8,89,13.5,.236,.397,.315,.371
15,Angels,2022,5977,5423,1265,219,31,190,449,1539,.233,.297,.390,.300,.371,23099,3934,334,8.5,35.8,88.3,13.7,.231,.387,.301,.372
16,Marlins,2022,5949,5395,1241,248,20,144,436,1429,.230,.294,.363,.290,.344,23187,4006,282,7,37.2,88.2,10.9,.236,.373,.299,.356
17,Red Sox,2022,6144,5539,1427,352,12,155,478,1373,.258,.321,.409,.319,.376,23900,4228,343,8.1,40.9,89.3,11.4,.250,.402,.316,.373
18,Blue Jays,2022,6158,5555,1464,307,12,200,500,1242,.264,.329,.431,.331,.381,23694,4354,368,8.5,44.3,90.2,11.2,.257,.418,.326,.374
19,White Sox,2022,6123,5611,1435,272,9,149,388,1269,.256,.310,.387,.306,.355,23147,4393,329,7.5,40.8,89.2,10.6,.248,.395,.308,.358
20,Giants,2022,6117,5392,1261,255,18,183,571,1462,.234,.315,.390,.311,.362,24342,3989,326,8.2,37.7,88.2,15.3,.228,.381,.308,.358
21,Twins,2022,6113,5476,1356,269,18,178,518,1353,.248,.317,.401,.315,.366,23946,4179,365,8.7,41.1,89.6,13.1,.247,.419,.323,.378
22,Dodgers,2022,6247,5526,1418,325,31,212,607,1374,.257,.333,.442,.337,.392,25138,4208,388,9.2,41.9,89.5,15.8,.246,.423,.330,.382
23,Phillies,2022,6077,5496,1392,255,29,205,478,1363,.253,.317,.422,.322,.381,23854,4183,357,8.5,41.1,89.3,13,.252,.417,.322,.382
24,Yankees,2022,6172,5422,1308,225,8,254,620,1391,.241,.325,.426,.327,.380,24434,4086,411,10.1,41.9,89.7,13.3,.244,.427,.330,.385
25,Guardians,2022,6163,5558,1410,273,31,127,450,1122,.254,.316,.383,.306,.339,23703,4510,220,4.9,33.1,87.2,11.7,.245,.361,.298,.329
26,Reds,2022,5978,5380,1264,235,18,156,452,1430,.235,.304,.372,.299,.353,23124,3995,233,5.8,34.7,87.2,12.9,.228,.354,.291,.342
27,D-backs,2022,6027,5351,1232,262,24,173,531,1341,.230,.304,.385,.303,.347,23541,4091,268,6.6,35.8,88.1,12.4,.227,.363,.297,.339
28,Mariners,2022,6117,5375,1236,229,19,197,596,1397,.230,.315,.390,.310,.355,24110,4032,327,8.1,36.7,88.2,15,.236,.393,.317,.364
29,Cardinals,2022,6165,5496,1386,290,21,197,537,1226,.252,.325,.420,.326,.367,24192,4320,325,7.5,37.4,88.2,14.3,.245,.397,.318,.355
