PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"McClanahan(W, 5-2)",6.0,7,1,1,0,7,1,2.01
"Adam(H, 5)",1.0,0,0,0,0,2,0,0.87
"Poche(H, 8)",1.0,2,1,1,0,0,1,1.69
"Feyereisen(S, 1)",1.0,0,0,0,0,0,0,0.00
,9.0,9,2,2,0,9,2,
