BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,3,2,2,2,1,1,1,.280,.909
"Freeman, F1B",5,2,3,2,0,0,1,.310,.878
TurnerSS,4,0,1,3,0,0,1,.289,.761
Alberto2B,1,0,0,0,0,0,2,.231,.532
RiosDH,5,0,0,0,0,3,2,.240,.843
"Smith, W.D.C",4,1,1,1,1,1,1,.255,.789
Muncy3B,5,0,1,0,0,0,2,.157,.603
BellingerCF,4,1,1,1,1,2,0,.216,.700
"Taylor, ChLF",4,1,1,1,1,0,2,.240,.732
Lux2B-SS,4,3,2,0,1,1,1,.263,.688
,39,10,12,10,5,8,13,,
