PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Anderson(W, 5-0)",8.0,5,0,0,0,8,0,3.30
Bickford,1.0,2,1,1,0,0,0,3.68
,9.0,7,1,1,0,8,0,
