Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2022,,22.1,20,21.3,-1,11,13,12,60.0
Player,,22.1,20,21.3,-1,11,13,12,60.0
