PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
"Garrett, B",7.1,4,1,1,1,4,0,4.25
Pop,0.2,1,0,0,1,0,0,3.38
"Yacabonis(W, 1-1)",1.0,1,0,0,0,0,0,2.45
"Floro(S, 2)",1.0,2,1,0,0,0,0,4.95
,10.0,8,2,1,2,4,0,
