PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
Anderson,5.0,2,0,0,2,6,0,0.00
"Martin(H, 1)",1.0,2,0,0,0,1,0,0.00
Kahnle,0.0,2,3,3,1,0,0,13.50
"Almonte(L, 0-1)(BS, 1)",0.2,2,2,2,0,1,0,7.71
Vesia,0.1,1,0,0,1,1,0,0.00
"Phillips, E",1.0,0,0,0,0,3,0,0.00
,8.0,9,5,5,4,12,0,
