PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Falter,4.2,4,1,1,2,3,0,3.68
Bellatti,0.1,0,0,0,0,1,0,3.31
"Brogdon(L, 2-1)",1.0,1,1,1,0,2,1,3.13
Coonrod,1.0,3,2,2,0,2,1,5.40
Robertson,1.0,2,1,1,0,1,0,2.45
,8.0,10,5,5,2,9,2,
