BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,4,1,1,0,0,1,2,.271,.775
SwansonSS,3,0,1,0,1,1,1,.280,.774
Riley3B,4,0,1,1,0,2,4,.278,.893
Olson1B,4,0,0,0,0,3,1,.234,.775
"Contreras, WmC",4,1,1,1,0,1,0,.278,.871
Grissom2B,3,0,1,0,1,1,0,.302,.831
"Harris II, MCF",4,2,1,0,0,0,2,.305,.885
OzunaDH,4,0,2,1,0,0,1,.221,.670
GrossmanLF,4,1,2,2,0,0,2,.214,.636
,34,5,10,5,2,9,13,,
