PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
Kirby,7.0,6,0,0,0,5,0,0.00
"Muñoz, A",1.0,1,0,0,0,3,0,4.76
Castillo. D,0.1,1,0,0,0,0,0,0.00
Brash,1.2,0,0,0,0,3,0,0.00
Sewald,2.0,0,0,0,0,4,0,16.20
"Swanson, E",1.0,0,0,0,0,1,0,0.00
Festa,2.0,0,0,0,0,2,0,2.70
Boyd,0.1,1,0,0,1,0,0,0.00
"Murfee(L, 0-1)",2.0,2,1,1,0,1,1,3.38
Ray,0.2,0,0,0,0,1,0,12.27
,18.0,11,1,1,1,20,1,
