BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,4,2,1,0,1,0,0,.299,.771
"Rosario, ASS",5,1,1,2,0,1,2,.284,.725
"Ramírez, Jo3B",3,1,3,4,1,0,0,.285,.906
"1-Freeman, TPR-3B",0,0,0,0,0,0,0,.250,.688
"Naylor, J1B",5,1,2,2,0,2,2,.271,.806
Gimenez2B,4,0,1,0,0,0,1,.303,.847
"Gonzalez, ORF",5,0,2,0,0,0,1,.304,.783
"Jones, NDH",5,0,3,0,0,0,2,.280,.776
HedgesC,3,1,0,0,1,0,5,.172,.520
BensonCF,5,2,1,0,0,1,6,.105,.255
,39,8,14,8,3,4,19,,
