PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Gibson,6.0,3,2,2,1,4,1,3.83
Familia,1.0,0,0,0,0,1,0,4.00
Hand,1.0,0,0,0,0,0,0,1.29
Knebel,1.0,2,1,1,0,0,1,3.43
"Bellatti(L, 1-1)",1.0,1,2,1,1,2,1,2.93
,10.0,6,5,4,2,7,3,
