PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Walker, T",5.1,5,3,3,3,5,0,3.45
Lugo,0.2,0,0,0,2,0,0,3.14
"Rodríguez, J(L, 0-4)",0.1,2,1,1,1,0,0,5.17
Hunter,0.2,0,0,0,1,0,0,2.40
Givens,2.0,0,0,0,1,0,0,3.91
,9.0,7,4,4,8,5,0,
