BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,3,1,1,0,2,1,0,.282,.913
TurnerSS,5,0,0,0,0,1,6,.308,.836
"Freeman, F1B",4,1,1,0,1,0,2,.326,.913
Muncy3B,4,1,0,0,1,0,2,.187,.691
GalloDH,2,0,0,1,0,2,0,.165,.654
"a-Smith, W.D.PH-DH",1,0,0,0,1,0,0,.268,.826
Lux2B,4,0,2,3,1,0,0,.296,.806
"Thompson, TLF",4,0,2,0,1,1,3,.279,.886
BellingerCF,4,0,0,0,0,0,5,.206,.658
"Barnes, AC",3,1,1,0,1,0,3,.194,.668
,34,4,7,4,8,5,21,,
