PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Musgrove(L, 8-2)",7.0,5,3,3,1,10,2,2.25
Crismatt,1.0,0,0,0,0,2,0,1.93
,8.0,5,3,3,1,12,2,
