BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
TurnerSS,4,0,0,0,0,2,0,.305,.839
"Freeman, F1B",4,0,0,0,0,1,0,.304,.876
"Smith, W.D.C",3,0,0,0,0,2,0,.258,.802
Muncy2B,2,1,1,0,1,0,0,.166,.618
"Turner, J3B",3,2,3,3,0,0,0,.227,.673
BellingerCF,3,0,0,0,0,1,1,.209,.661
LambDH,3,0,1,0,0,2,1,.400,1.300
"Taylor, ChRF",3,0,0,0,0,3,2,.241,.737
LuxLF,3,0,0,0,0,1,0,.292,.750
,28,3,5,3,1,12,4,,
