BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,3,0,1,0,1,0,1,.200,.554
Olson1B,4,0,2,0,0,0,2,.295,.909
Riley3B,4,0,0,0,0,2,3,.274,.935
OzunaDH,4,0,0,0,0,1,3,.225,.651
Albies2B,4,0,2,0,0,0,1,.218,.732
DuvallCF,4,0,1,0,0,0,1,.178,.507
DemeritteLF,3,0,0,0,1,1,3,.303,.913
SwansonSS,3,0,0,0,0,0,3,.218,.645
"Contreras, WmC",3,0,1,0,0,1,3,.214,.910
,32,0,7,0,2,5,20,,
