PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Berríos,7.0,5,2,2,1,4,0,4.91
"Cimber(W, 4-0)(BS, 2)",1.0,1,0,0,0,0,0,2.00
Merryweather,1.0,1,0,0,0,1,0,5.14
,9.0,7,2,2,1,5,0,
