BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
OrtegaCF-LF,2,0,0,0,1,0,2,.240,.692
"Velazquez, NLF",2,0,0,0,0,1,2,.217,.666
HappLF,2,0,0,0,0,1,0,.274,.811
MorelCF,3,0,1,1,0,1,1,.265,.814
"Suzuki, SRF",5,0,3,0,0,1,0,.271,.806
HoernerSS,4,0,0,0,1,2,2,.300,.757
SchwindelDH,5,1,1,0,0,2,3,.242,.677
Wisdom3B,4,1,1,0,0,2,1,.222,.759
Rivas1B,4,0,1,0,0,2,1,.236,.636
GomesC,3,0,2,2,1,0,0,.213,.542
Bote2B,4,1,1,0,0,2,4,.303,.850
,38,3,10,3,3,14,16,,
