PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Smyly,4.1,5,2,1,1,4,1,4.22
Espinoza,2.2,1,0,0,2,2,0,2.79
Effross,1.0,0,0,0,0,3,0,2.93
Brault,1.0,0,0,0,0,0,0,0.00
"Givens(L, 5-2)",0.2,1,2,0,1,0,0,2.92
Norris,0.1,0,0,0,1,0,0,6.90
,10.0,7,4,1,5,9,1,
