PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
Scherzer,6.1,8,2,2,1,11,0,2.22
Holderman,1.2,0,0,0,0,1,0,2.04
"Lopez, Y(W, 1-0)",2.0,2,1,0,2,2,0,3.12
,10.0,10,3,2,3,14,0,
