BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,1,2,1,0,1,0,.167,.675
1-VierlingPR-LF,0,0,0,0,0,0,0,.200,.500
Hoskins1B,3,0,0,0,1,3,1,.135,.503
RealmutoC,3,0,0,0,1,1,0,.200,.549
HarperDH,4,0,1,0,0,0,2,.400,1.289
"Castellanos, NRF",4,1,1,0,0,0,2,.206,.515
Bohm3B,3,1,2,1,0,0,0,.233,.627
"Sosa, E3B",0,0,0,0,0,0,0,.500,1.250
StottSS,3,1,2,0,0,0,1,.182,.598
Segura2B,3,0,1,2,0,0,1,.286,.712
MarshCF,3,0,0,0,0,2,1,.211,.760
,30,4,9,4,2,7,8,,
