PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Musgrove(L, 1-1)",5.2,8,4,4,2,5,1,2.89
"Hill, T",1.0,1,0,0,0,0,0,0.00
Johnson,1.1,0,0,0,0,2,0,0.00
,8.0,9,4,4,2,7,1,
