BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KiermaierCF,4,0,1,0,0,2,0,.212,.618
MargotRF,4,0,0,0,0,0,2,.303,.794
"Díaz, Y3B",3,1,2,0,1,0,0,.282,.791
Choi1B,4,1,1,0,0,1,1,.263,.810
"Ramírez, HDH",3,0,1,1,0,1,2,.285,.698
ArozarenaLF,3,1,1,1,1,1,2,.262,.740
Paredes2B,4,1,1,1,0,0,3,.203,.724
ZuninoC,4,1,1,2,0,1,0,.152,.513
WallsSS,4,0,1,0,0,2,0,.151,.490
,33,5,9,5,2,8,10,,
