PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Hill,4.0,7,4,4,1,0,1,4.75
Brasier,1.0,0,0,0,1,0,0,5.10
"Barnes, M(BS, 2)",0.2,1,1,1,2,0,0,7.45
Sawamura,1.0,0,0,0,2,2,0,3.25
Schreiber,0.1,0,0,0,0,1,0,1.88
Whitlock,2.0,2,1,1,0,1,0,3.13
"Ort(L, 0-1)",1.2,3,3,1,1,0,0,9.00
"Davis, A",0.1,0,0,0,0,0,0,4.76
,11.0,13,9,7,7,4,1,
