PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Manning(W, 1-1)",6.0,5,0,0,0,8,0,2.37
Vest,1.0,3,1,1,0,2,0,3.86
Lange,1.0,0,0,0,1,2,0,3.47
"Soto, G",1.0,0,0,0,1,1,0,2.96
,9.0,8,1,1,2,13,0,
